MES,SEM,FECHA,BEB_REF,CAR_PAQ,CAR_PKL,COMP_ENV,COMP_PAQ,LACT_Q,TOR_TOR,VENTA,COSTO,UTIL,DESC,MES_CFD,SEM_CFD,F_CFD,C_CFD
4,16,18/04/2020,11.0,34.0,36.01324,34.5,,1.0,17.0,18231.75446,11698.364590000001,6533.38987,0.0,4,16,18/04/2020,1
4,16,19/04/2020,22.0,54.0,33.90193,31.5,,3.0,29.0,25071.51087,16733.6167,8337.89417,75.589,4,16,19/04/2020,1
4,17,20/04/2020,9.0,7.0,13.755189999999999,16.5,,1.0,9.0,5356.31951,3122.45509,2233.86442,5.1,4,17,20/04/2020,0
4,17,21/04/2020,5.0,1.0,9.75,9.0,,,4.0,2500.75,1432.654,1068.096,0.0,4,17,21/04/2020,5
4,17,22/04/2020,6.0,5.0,36.385,31.5,,,12.0,11799.915,5289.0465,6510.8685,0.0,4,17,22/04/2020,8
4,17,23/04/2020,3.0,4.0,21.13019,13.0,,,8.0,5421.54451,2860.44434,2561.1001699999997,0.0,4,17,23/04/2020,2
4,17,24/04/2020,4.0,18.5,18.46629,13.0,,,6.0,8433.69441,5915.21184,2518.48257,29.9,4,17,24/04/2020,7
4,17,25/04/2020,13.0,25.0,27.11805,27.5,,,19.0,15166.27495,9813.82525,5378.4497,1.9,4,17,25/04/2020,4
4,17,26/04/2020,23.0,43.0,42.72183,35.0,,2.0,20.0,22283.15037,14885.6922,7397.45817,21.199,4,17,26/04/2020,6
4,18,27/04/2020,2.0,8.0,2.43,7.0,,,5.0,3091.97,2290.344,801.6260000000001,0.0,4,18,27/04/2020,9
4,18,28/04/2020,3.0,3.0,15.028820000000001,20.5,,,9.0,5551.34418,2702.142666,2849.201514,0.0,4,18,28/04/2020,21
4,18,29/04/2020,10.0,8.0,36.5,18.0,,,9.0,11638.8,5419.5105,6219.2895,0.0,4,18,29/04/2020,10
4,18,30/04/2020,11.0,24.5,13.785,27.5,4.0,1.0,13.0,11374.215,7362.0915,4034.1235,0.0,4,18,30/04/2020,14
5,18,01/05/2020,5.0,18.0,13.47759,15.0,4.0,,7.0,8355.30021,5871.628024000001,2505.672186,0.0,5,18,01/05/2020,19
5,18,02/05/2020,20.0,42.0,31.19745,21.5,,,17.0,20782.43955,13688.48125,7093.9583,0.0,5,18,02/05/2020,16
5,18,03/05/2020,27.0,48.0,31.517640000000004,25.5,4.0,,25.0,23490.02556,15308.158290000001,8203.86727,22.1,5,18,03/05/2020,6
5,19,04/05/2020,6.0,5.0,8.515,17.0,,,8.0,4224.185,2537.393,1686.7920000000001,0.0,5,19,04/05/2020,21
5,19,05/05/2020,3.0,16.0,12.337760000000001,15.0,,2.0,5.0,7713.77984,5216.97595,2496.8038899999997,0.0,5,19,05/05/2020,30
5,19,06/05/2020,15.0,7.0,29.58,25.5,,1.0,8.0,9652.82,5029.19,4623.63,0.0,5,19,06/05/2020,11
